block,config,seed,n_train_steps,condition,fit_before,fit_after,delta,v_mean,cross_e_frac_end,wall_sec
long_training,structural_n20000,0,20000,structural,-0.0002585904148872942,-0.00022333129891194403,3.525911597535014e-05,0.8517254590988159,0.4063720703125,4.721095378044993
long_training,structural_n20000,1,20000,structural,-0.0002678088203538209,-0.00022457873274106532,4.32300876127556e-05,0.8533879518508911,0.3975830078125,4.534139575029258
long_training,structural_n20000,2,20000,structural,-0.0002715807349886745,-0.00022715513478033245,4.4425600208342075e-05,0.8442332744598389,0.391845703125,4.512626774027012
long_training,structural_n20000,3,20000,structural,-0.0002791685692500323,-0.0002389630681136623,4.020550113637e-05,0.8692076206207275,0.3946533203125,4.534478024987038
long_training,structural_n20000,4,20000,structural,-0.00026649280334822834,-0.00022089510457590222,4.559769877232611e-05,0.840356171131134,0.4033203125,4.652736840012949
long_training,stdp_only_n20000,0,20000,stdp_only,-0.0002585904148872942,-0.00022142042871564627,3.7169986171647906e-05,0.8480982184410095,0.4088134765625,2.5341279830317944
long_training,stdp_only_n20000,1,20000,stdp_only,-0.0002678088203538209,-0.0002249852113891393,4.2823608964681625e-05,0.8566418886184692,0.401123046875,2.4159936860087328
long_training,stdp_only_n20000,2,20000,stdp_only,-0.0002715807349886745,-0.00022628837905358523,4.529235593508929e-05,0.8403961658477783,0.3956298828125,2.399911557964515
long_training,stdp_only_n20000,3,20000,stdp_only,-0.0002791685692500323,-0.00023673599935136735,4.243256989866495e-05,0.8589075207710266,0.396728515625,2.4333794150152244
long_training,stdp_only_n20000,4,20000,stdp_only,-0.00026649280334822834,-0.00022329708735924214,4.3195715988986194e-05,0.8369919061660767,0.4075927734375,2.425487347994931
long_training,structural_n50000,0,50000,structural,-0.0002585904148872942,-0.00017396775365341455,8.462266123387963e-05,0.6129619479179382,0.3885498046875,6.455955463985447
long_training,structural_n50000,1,50000,structural,-0.0002678088203538209,-0.00017680716700851917,9.100165334530175e-05,0.6335404515266418,0.388427734375,5.841372353024781
